,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Septal.Ratio,Petal.Ratio
89,5.5,2.5,4.0,1.3,versicolor,2.2,3.0769230769230766
90,5.5,2.6,4.4,1.2,versicolor,2.1153846153846154,3.666666666666667
91,6.1,3.0,4.6,1.4,versicolor,2.033333333333333,3.2857142857142856
92,5.8,2.6,4.0,1.2,versicolor,2.230769230769231,3.3333333333333335
93,5.0,2.3,3.3,1.0,versicolor,2.173913043478261,3.3
94,5.6,2.7,4.2,1.3,versicolor,2.074074074074074,3.230769230769231
95,5.7,3.0,4.2,1.2,versicolor,1.9000000000000001,3.5000000000000004
96,5.7,2.9,4.2,1.3,versicolor,1.9655172413793105,3.230769230769231
97,6.2,2.9,4.3,1.3,versicolor,2.137931034482759,3.3076923076923075
98,5.1,2.5,3.0,1.1,versicolor,2.04,2.727272727272727
99,5.7,2.8,4.1,1.3,versicolor,2.035714285714286,3.1538461538461533
100,6.3,3.3,6.0,2.5,virginica,1.9090909090909092,2.4
101,5.8,2.7,5.1,1.9,virginica,2.148148148148148,2.6842105263157894
102,7.1,3.0,5.9,2.1,virginica,2.3666666666666667,2.8095238095238098
103,6.3,2.9,5.6,1.8,virginica,2.1724137931034484,3.1111111111111107
104,6.5,3.0,5.8,2.2,virginica,2.1666666666666665,2.6363636363636362
105,7.6,3.0,6.6,2.1,virginica,2.533333333333333,3.1428571428571423
106,4.9,2.5,4.5,1.7,virginica,1.9600000000000002,2.6470588235294117
107,7.3,2.9,6.3,1.8,virginica,2.5172413793103448,3.5
108,6.7,2.5,5.8,1.8,virginica,2.68,3.222222222222222
109,7.2,3.6,6.1,2.5,virginica,2.0,2.44
110,6.5,3.2,5.1,2.0,virginica,2.03125,2.55
111,6.4,2.7,5.3,1.9,virginica,2.3703703703703702,2.7894736842105265
112,6.8,3.0,5.5,2.1,virginica,2.2666666666666666,2.619047619047619
113,5.7,2.5,5.0,2.0,virginica,2.2800000000000002,2.5
114,5.8,2.8,5.1,2.4,virginica,2.0714285714285716,2.125
115,6.4,3.2,5.3,2.3,virginica,2.0,2.3043478260869565
116,6.5,3.0,5.5,1.8,virginica,2.1666666666666665,3.0555555555555554
117,7.7,3.8,6.7,2.2,virginica,2.0263157894736845,3.0454545454545454
118,7.7,2.6,6.9,2.3,virginica,2.9615384615384617,3.0000000000000004
119,6.0,2.2,5.0,1.5,virginica,2.727272727272727,3.3333333333333335
120,6.9,3.2,5.7,2.3,virginica,2.15625,2.4782608695652177
121,5.6,2.8,4.9,2.0,virginica,2.0,2.45
122,7.7,2.8,6.7,2.0,virginica,2.7500000000000004,3.35
123,6.3,2.7,4.9,1.8,virginica,2.333333333333333,2.7222222222222223
124,6.7,3.3,5.7,2.1,virginica,2.0303030303030303,2.7142857142857144
125,7.2,3.2,6.0,1.8,virginica,2.25,3.333333333333333
126,6.2,2.8,4.8,1.8,virginica,2.2142857142857144,2.6666666666666665
127,6.1,3.0,4.9,1.8,virginica,2.033333333333333,2.7222222222222223
128,6.4,2.8,5.6,2.1,virginica,2.285714285714286,2.6666666666666665
129,7.2,3.0,5.8,1.6,virginica,2.4,3.6249999999999996
130,7.4,2.8,6.1,1.9,virginica,2.6428571428571432,3.2105263157894735
131,7.9,3.8,6.4,2.0,virginica,2.0789473684210527,3.2
132,6.4,2.8,5.6,2.2,virginica,2.285714285714286,2.545454545454545
133,6.3,2.8,5.1,1.5,virginica,2.25,3.4
134,6.1,2.6,5.6,1.4,virginica,2.346153846153846,4.0
135,7.7,3.0,6.1,2.3,virginica,2.566666666666667,2.6521739130434785
136,6.3,3.4,5.6,2.4,virginica,1.8529411764705883,2.3333333333333335
137,6.4,3.1,5.5,1.8,virginica,2.064516129032258,3.0555555555555554
138,6.0,3.0,4.8,1.8,virginica,2.0,2.6666666666666665
139,6.9,3.1,5.4,2.1,virginica,2.2258064516129035,2.5714285714285716
140,6.7,3.1,5.6,2.4,virginica,2.161290322580645,2.3333333333333335
141,6.9,3.1,5.1,2.3,virginica,2.2258064516129035,2.217391304347826
142,5.8,2.7,5.1,1.9,virginica,2.148148148148148,2.6842105263157894
143,6.8,3.2,5.9,2.3,virginica,2.125,2.565217391304348
144,6.7,3.3,5.7,2.5,virginica,2.0303030303030303,2.2800000000000002
145,6.7,3.0,5.2,2.3,virginica,2.2333333333333334,2.2608695652173916
146,6.3,2.5,5.0,1.9,virginica,2.52,2.6315789473684212
147,6.5,3.0,5.2,2.0,virginica,2.1666666666666665,2.6
148,6.2,3.4,5.4,2.3,virginica,1.823529411764706,2.347826086956522
149,5.9,3.0,5.1,1.8,virginica,1.9666666666666668,2.833333333333333
